Time(h),Cell volume(nL),Cell counts
0.0,-0.0,18103.60173385936
0.001,-1e-05,9026.463388279015
0.002,-2e-05,16774.913949639555
0.003,-3e-05,13506.920274825381
0.004,-4e-05,12335.411410503635
0.005,-5e-05,12067.861128989713
0.006,-6e-05,12281.66333396053
0.007,-7.000000000000001e-05,10969.759919048032
0.008,-8e-05,15916.40610277732
0.009000000000000001,-9e-05,17264.238783286433
0.01,-0.0001,5260.119348298781
0.011,-0.00010999999999999999,15682.396375423612
0.012,-0.00012,4466.878136606221
0.013000000000000001,-0.00013000000000000002,10176.698555447274
0.014,-0.00014000000000000001,8825.205021802856
0.015,-0.00015,3201.561099114743
0.016,-0.00016,5183.964466689048
0.017,-0.00017,12255.104969560454
0.018000000000000002,-0.00018,15664.00855665931
0.019,-0.00019,11442.30014830299
0.02,-0.0002,10696.325110981052
0.021,-0.00021,16848.2204863125
0.022,-0.00021999999999999998,12964.033589737546
0.023,-0.00023,7428.632039103128
0.024,-0.00024,16650.32194805826
0.025,-0.00025,14656.235095227628
0.026000000000000002,-0.00026000000000000003,7565.400139114368
0.027,-0.00027,11725.05480661431
0.028,-0.00028000000000000003,6449.704064709983
0.029,-0.00029,9061.531030484226
0.03,-0.0003,9358.570414540149
0.031,-0.00031,11143.503359659011
0.032,-0.00032,14259.170287300101
0.033,-0.00033,8049.398359148153
0.034,-0.00034,9970.75697020785
0.035,-0.00035000000000000005,14069.103383914524
0.036000000000000004,-0.00036,10514.973885300471
0.037,-0.00037,9118.414644218421
0.038,-0.00038,12367.139980245303
0.039,-0.00039,12659.651411779083
0.04,-0.0004,15203.809375231021
0.041,-0.00041000000000000005,12572.785107644317
0.042,-0.00042,9828.37456773016
0.043000000000000003,-0.00043000000000000004,14717.169033103422
0.044,-0.00043999999999999996,8749.83340240215
0.045,-0.00045,7318.091469885886
0.046,-0.00046,11941.867111511332
0.047,-0.00047,9514.808451945448
0.048,-0.00048,12072.581310426183
0.049,-0.00049,7981.731179962752
0.05,-0.0005,2409.956818573016
0.051000000000000004,-0.00051,14901.731239510478
0.052000000000000005,-0.0005200000000000001,10914.258956177226
0.053,-0.00053,10785.193796707952
0.054,-0.00054,11478.588859997251
0.055,-0.00055,10354.106724670622
0.056,-0.0005600000000000001,7435.977625447398
0.057,-0.0005700000000000001,4717.08144859473
0.058,-0.00058,10108.68170061787
0.059000000000000004,-0.00059,9923.4129743888
0.06,-0.0006,8895.292124510393
0.061,-0.00061,13059.002247405073
0.062,-0.00062,7692.294330783124
0.063,-0.00063,9447.509119037075
0.064,-0.00064,5874.1883788401055
0.065,-0.0006500000000000001,8986.09753821474
0.066,-0.00066,12502.311791268598
0.067,-0.00067,11900.90541557005
0.068,-0.00068,6693.054874189151
0.069,-0.0006900000000000001,13881.473943460012
0.07,-0.0007000000000000001,11341.04129191134
0.07100000000000001,-0.0007100000000000001,14877.435766862585
0.07200000000000001,-0.00072,12417.586444807075
0.073,-0.00073,8799.043533971475
0.074,-0.00074,10295.458757253211
0.075,-0.00075,18557.43993223386
0.076,-0.00076,5891.536307622233
0.077,-0.00077,12862.695729160068
0.078,-0.00078,12028.771033316207
0.079,-0.00079,14391.17769680158
0.08,-0.0008,9139.22402603907
0.081,-0.0008100000000000001,15470.016519646442
0.082,-0.0008200000000000001,7086.438166328346
0.083,-0.00083,11386.41353488384
0.084,-0.00084,7936.637252987094
0.085,-0.0008500000000000001,14210.754026402747
0.08600000000000001,-0.0008600000000000001,12182.742313006283
0.08700000000000001,-0.0008700000000000001,14665.307014733471
0.088,-0.0008799999999999999,9573.83372130774
0.089,-0.00089,12081.577356394533
0.09,-0.0009,10410.60286195048
0.091,-0.00091,9694.343196154352
0.092,-0.00092,11118.575900529864
0.093,-0.00093,12227.774940664713
0.094,-0.00094,15666.329631756675
0.095,-0.00095,9225.957992855982
0.096,-0.00096,9305.097590459738
0.097,-0.00097,15408.051895040047
0.098,-0.00098,9123.236649673121
0.099,-0.00099,10105.406139023255
0.1,-0.001,7785.384093185778
0.101,-0.00101,9609.438872334345
0.10200000000000001,-0.00102,15168.707641102741
0.10300000000000001,-0.00103,11981.439535966767
0.10400000000000001,-0.0010400000000000001,12186.53842886193
0.105,-0.00105,11310.82772021353
0.106,-0.00106,10718.55536766013
0.107,-0.00107,12303.485130136643
0.108,-0.00108,13469.928611669819
0.109,-0.00109,11293.53155436398
0.11,-0.0011,16278.565438921003
0.111,-0.00111,11046.543202381212
0.112,-0.0011200000000000001,9756.828695923083
0.113,-0.0011300000000000001,5328.590797263861
0.114,-0.0011400000000000002,12335.062929656158
0.115,-0.00115,13487.13814536992
0.116,-0.00116,12217.833719002485
0.117,-0.00117,13136.025439700466
0.11800000000000001,-0.00118,8515.875538289787
0.11900000000000001,-0.00119,15324.312495590419
0.12,-0.0012,6846.79223396481
0.121,-0.00121,14476.149283951645
0.122,-0.00122,13533.856975829976
0.123,-0.00123,4504.129675237298
0.124,-0.00124,13564.701288156772
0.125,-0.00125,11375.235259099327
0.126,-0.00126,9196.589099370805
0.127,-0.00127,9985.856587596123
0.128,-0.00128,12091.166748850299
0.129,-0.0012900000000000001,6429.590407972293
0.13,-0.0013000000000000002,10215.73872732152
0.131,-0.0013100000000000002,6074.849139031052
0.132,-0.00132,15339.43007720565
0.133,-0.00133,13348.879511784116
0.134,-0.00134,10137.374084651128
0.135,-0.00135,11360.857294442112
0.136,-0.00136,11120.616280822713
0.137,-0.0013700000000000001,6093.485829802669
0.138,-0.0013800000000000002,7077.28231283235
0.139,-0.0013900000000000002,9092.496549794794
0.14,-0.0014000000000000002,9350.577950071945
0.14100000000000001,-0.0014100000000000002,13033.476316321074
0.14200000000000002,-0.0014200000000000003,7411.958034931398
0.14300000000000002,-0.0014300000000000003,9729.438865169155
0.14400000000000002,-0.00144,11095.591242797092
0.145,-0.00145,12438.008968756765
0.146,-0.00146,12470.476149455184
0.147,-0.00147,13659.23407337139
0.148,-0.00148,6035.882698910832
0.149,-0.00149,9976.355481405462
0.15,-0.0015,13200.05174100567
0.151,-0.00151,15364.844937105141
0.152,-0.00152,9710.3412607252
0.153,-0.0015300000000000001,9893.595278019806
0.154,-0.00154,6266.881365893358
0.155,-0.00155,14630.38084648468
0.156,-0.00156,12932.153418300375
0.157,-0.00157,10729.734731992494
0.158,-0.00158,11228.211473459922
0.159,-0.00159,12783.607994321916
0.16,-0.0016,15821.574954303134
0.161,-0.00161,12754.49711509191
0.162,-0.0016200000000000001,9610.511949245723
0.163,-0.0016300000000000002,15434.421380478512
0.164,-0.0016400000000000002,11712.010486571291
0.165,-0.0016500000000000002,13270.157134952748
0.166,-0.00166,5337.251652436306
0.167,-0.00167,10718.02894226485
0.168,-0.00168,8275.791212407574
0.169,-0.00169,9370.145710358833
0.17,-0.0017000000000000001,4966.5707074736065
0.171,-0.0017100000000000001,10745.54358397637
0.17200000000000001,-0.0017200000000000002,7949.558075811011
0.17300000000000001,-0.0017300000000000002,9350.733062321964
0.17400000000000002,-0.0017400000000000002,10535.215085874788
0.17500000000000002,-0.0017500000000000003,13880.732522894572
0.176,-0.0017599999999999998,9330.110513768985
0.177,-0.0017699999999999999,6755.684770421604
0.178,-0.00178,12370.218719366972
0.179,-0.00179,12178.698756339698
0.18,-0.0018,7406.463730864983
0.181,-0.00181,15241.483550947969
0.182,-0.00182,9930.870161336636
0.183,-0.00183,11377.632068657153
0.184,-0.00184,15309.13072685165
0.185,-0.00185,9679.284277874414
0.186,-0.00186,16830.213853568785
0.187,-0.0018700000000000001,15828.409560782226
0.188,-0.00188,9294.836264943415
0.189,-0.00189,10643.740534228136
0.19,-0.0019,13042.32846888165
0.191,-0.00191,14481.3063992326
0.192,-0.00192,7401.01154167807
0.193,-0.00193,5980.281072478873
0.194,-0.00194,14910.12519003452
0.195,-0.0019500000000000001,18561.505448321328
0.196,-0.00196,15730.796948050946
0.197,-0.00197,14809.02051181176
0.198,-0.00198,10624.905421145095
0.199,-0.00199,17102.16983053854
